구분,항목,내용,노출,강조,제목,날짜,이미지주소,설명
예시,,"이 행은 작성 예시입니다. 화면에는 표시되지 않습니다. 구분은 설정/배너/공지 중 하나로 적고, 노출·강조는 Y 또는 N으로 적습니다.",,,,,,
설정,subtitle,주요일정 안내,,,,,,
설정,noticeTitle,📢 6월 주요일정,,,,,,
설정,footerTitle,공지 안내,,,,,,
설정,footerText,"복지관 이용문의는 1층(운영, 시설, 활동지원서비스), 2층(각 프로그램) 개별 사무실에 문의주시면 감사하겠습니다. | 오늘 하루도 행복하고 건강한 시간 보내세요.",,,,,,
설정,youtubeId,,,,,,,유튜브 주소가 https://www.youtube.com/watch?v=ABCDEFG1234 이면 ABCDEFG1234만 입력
설정,youtubeUrl,,,,,,,youtubeId 대신 전체 유튜브 주소를 넣어도 됩니다.
설정,bannerSeconds,8,,,,,,배너가 여러 개일 때 다음 배너로 넘어가는 초
설정,noticeScrollSeconds,22,,,,,,공지 5개 이상일 때 위로 흐르는 속도
설정,tickerSeconds,25,,,,,,하단 공지 흐르는 속도
설정,refreshMinutes,5,,,,,,CSV를 다시 읽어오는 간격. 5면 5분마다 자동 반영
설정,weatherEnabled,Y,,,,,,날씨 표시 Y/N
설정,weatherLatitude,37.6360,,,,,,남양주시 근처 위도. 필요하면 수정
설정,weatherLongitude,127.2165,,,,,,남양주시 근처 경도. 필요하면 수정
설정,weatherLabel,남양주,,,,,,날씨 옆에 표시될 지역명
배너,,,Y,,기본 배너,,./assets/default-banner.png,GitHub에 들어있는 기본 배너
배너,,,N,,외부 이미지 배너 예시,,https://example.com/banner.png,인터넷 이미지 주소를 넣으면 배너로 표시. 노출을 Y로 바꾸면 표시
공지,,,Y,Y,🏢 활동지원사업 평가(6-29 회의실),06-29,,강조 Y는 왼쪽 빨간색 표시
공지,,,Y,N,"🤝 한국수자원공사 경기동북권지사 후원물품 전달식(6-23, 10:30~11:00)",06-23,,
공지,,,Y,N,❤️ 남양주시장애인복지관 20주년 고객감동이벤트(1층 로비),06-19,,
공지,,,Y,N,"🗓️ 활동지원사 양성교육(6-20 ~ 6.28 매주 금, 토, 일)",06-18,,
공지,,,Y,N,🔔 식당정비 진행(6-19 식당미운영),06-17,,
공지,,,Y,N,🔔 사회복지실습생 모집(상시 모집),06-01,,
공지,,,N,N,숨김 처리된 공지 예시입니다. 노출을 Y로 바꾸면 화면에 나옵니다.,07-01,,
